route_name,manifold_type,sep_factor,theta_sep_deg,theta_a_deg,theta_b_deg,snr_db,raw_success_rate,tol_success_rate,tol_success_rate_rel,rmse_deg,snr90_db,snr90_rel_db,mean_bias_deg,max_bias_deg,degraded_sample_count,num_peaks_found,lambda2_over_noise
multilayer_coherent_proto14_N32_baseline,root_music_ula_from_proto14,10,0.545000,-0.272500,0.272500,12,0.885000,0.000000,0.000000,28.351312,NaN,NaN,0.269373,16.591199,200,1.770000,1.073014
multilayer_coherent_proto14_N32_baseline,root_music_ula_from_proto14,10,0.545000,-0.272500,0.272500,14,0.885000,0.000000,0.000000,26.087417,NaN,NaN,-0.129068,14.913268,200,1.770000,1.074165
multilayer_coherent_proto14_N32_baseline,root_music_ula_from_proto14,10,0.545000,-0.272500,0.272500,16,0.890000,0.000000,0.000000,23.186122,NaN,NaN,-0.973343,12.963388,192,1.780000,1.080089
multilayer_coherent_proto14_N32_baseline,root_music_ula_from_proto14,10,0.545000,-0.272500,0.272500,18,0.965000,0.000000,0.000000,16.234022,NaN,NaN,-0.371960,7.436726,157,1.930000,1.103383
multilayer_coherent_proto14_N32_baseline,root_music_ula_from_proto14,10,0.545000,-0.272500,0.272500,20,1.000000,0.000000,0.000000,2.722166,NaN,NaN,-0.055760,0.541747,42,2.000000,1.185384
multilayer_coherent_proto14_N32_baseline,root_music_ula_from_proto14,10,0.545000,-0.272500,0.272500,22,1.000000,0.000000,0.000000,0.341479,NaN,NaN,-0.014604,0.048536,4,2.000000,1.336717
multilayer_coherent_proto14_N32_baseline,root_music_ula_from_proto14,10,0.545000,-0.272500,0.272500,24,1.000000,0.000000,0.000000,0.224641,NaN,NaN,-0.020990,0.143537,0,2.000000,1.598875
multilayer_coherent_proto14_N32_baseline,root_music_ula_from_proto14,10,0.545000,-0.272500,0.272500,26,1.000000,0.005000,0.030000,0.189627,NaN,NaN,-0.011054,0.149109,0,2.000000,2.005561
multilayer_coherent_proto14_N32_baseline,root_music_ula_from_proto14,10,0.545000,-0.272500,0.272500,28,1.000000,0.030000,0.115000,0.157982,NaN,NaN,-0.012758,0.137516,0,2.000000,2.650455
multilayer_coherent_proto14_N32_baseline,root_music_ula_from_proto14,10,0.545000,-0.272500,0.272500,30,1.000000,0.170000,0.525000,0.120344,NaN,NaN,-0.012919,0.110476,0,2.000000,3.685537
multilayer_coherent_proto15_grid_music_real_manifold_main,real_xy_grid_music,1,5.450000,-2.725000,2.725000,-4,1.000000,1.000000,1.000000,0.019538,-4.000000,-4.000000,0.000725,0.014700,0,2.000000,15.746036
multilayer_coherent_proto15_grid_music_real_manifold_main,real_xy_grid_music,1,5.450000,-2.725000,2.725000,-2,1.000000,1.000000,1.000000,0.016954,-4.000000,-4.000000,-0.000212,0.013750,0,2.000000,24.505209
multilayer_coherent_proto15_grid_music_real_manifold_main,real_xy_grid_music,1,5.450000,-2.725000,2.725000,0,1.000000,1.000000,1.000000,0.015871,-4.000000,-4.000000,-0.000225,0.013875,0,2.000000,38.171113
multilayer_coherent_proto15_grid_music_real_manifold_main,real_xy_grid_music,1,5.450000,-2.725000,2.725000,2,1.000000,1.000000,1.000000,0.015397,-4.000000,-4.000000,-0.000087,0.014000,0,2.000000,60.077646
multilayer_coherent_proto15_grid_music_real_manifold_main,real_xy_grid_music,1,5.450000,-2.725000,2.725000,4,1.000000,1.000000,1.000000,0.014849,-4.000000,-4.000000,-0.000350,0.014125,0,2.000000,94.702564
multilayer_coherent_proto15_grid_music_real_manifold_main,real_xy_grid_music,1,5.450000,-2.725000,2.725000,6,1.000000,1.000000,1.000000,0.014300,-4.000000,-4.000000,0.000100,0.013675,0,2.000000,149.313542
multilayer_coherent_proto15_grid_music_real_manifold_main,real_xy_grid_music,1,5.450000,-2.725000,2.725000,8,1.000000,1.000000,1.000000,0.014053,-4.000000,-4.000000,0.000275,0.013875,0,2.000000,236.409031
multilayer_coherent_proto15_grid_music_real_manifold_main,real_xy_grid_music,1,5.450000,-2.725000,2.725000,10,1.000000,1.000000,1.000000,0.014107,-4.000000,-4.000000,0.000475,0.014300,0,2.000000,373.136297
multilayer_coherent_proto15_grid_music_real_manifold_main,real_xy_grid_music,1,5.450000,-2.725000,2.725000,12,1.000000,1.000000,1.000000,0.014025,-4.000000,-4.000000,0.000312,0.014125,0,2.000000,590.897156
multilayer_coherent_proto15_grid_music_real_manifold_main,real_xy_grid_music,1,5.450000,-2.725000,2.725000,14,1.000000,1.000000,1.000000,0.014160,-4.000000,-4.000000,0.000300,0.014300,0,2.000000,932.862056
multilayer_coherent_proto15_grid_music_real_manifold_main,real_xy_grid_music,1,5.450000,-2.725000,2.725000,16,1.000000,1.000000,1.000000,0.014224,-4.000000,-4.000000,0.000137,0.014225,0,2.000000,1469.093834
multilayer_coherent_proto15_grid_music_real_manifold_main,real_xy_grid_music,1,5.450000,-2.725000,2.725000,18,1.000000,1.000000,1.000000,0.014524,-4.000000,-4.000000,0.000162,0.014600,0,2.000000,2295.536315
multilayer_coherent_proto15_grid_music_real_manifold_main,real_xy_grid_music,1,5.450000,-2.725000,2.725000,20,1.000000,1.000000,1.000000,0.014695,-4.000000,-4.000000,0.000112,0.014750,0,2.000000,3561.604235
multilayer_coherent_proto15_grid_music_real_manifold_main,real_xy_grid_music,1,5.450000,-2.725000,2.725000,22,1.000000,1.000000,1.000000,0.014811,-4.000000,-4.000000,0.000075,0.014850,0,2.000000,5435.538146
